Movie Name,Release Date,Genre,Runtime,Story,IMDb Rating,Vote Count,Director,Actors,Movie URL
Drishyam 2,2021-02-19,"Crime, Drama, Mystery",2h 32m,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,8.4,45636,Jeethu Joseph,"Mohanlal, Meena, Ansiba Hassan",https://www.imdb.com/title/tt12361178/
Dangal,2016-12-21,"Action, Biography, Drama",2h 41m,"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas.",8.3,246365,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh",https://www.imdb.com/title/tt5074352/
Meiyazhagan,2024-09-27,"Drama, Family",2h 57m,A man's life is changed when he bumps into someone from his hometown in this moving Tamil-language drama; gentle scenes are occasionally punctuated by sporting threat and recollections of violence.,8.5,23487,C. Prem Kumar,"Karthi, Arvind Swamy, Sri Divya",https://www.imdb.com/title/tt26758372/
Visaranai,2016-02-05,"Crime, Drama, Thriller",1h 57m,Four labourers are tortured by the police to confess to a theft they have not committed.,8.4,15820,Vetrimaaran,"Dinesh, Samuthirakani, Kayal Anandhi",https://www.imdb.com/title/tt4991384/
Kaithi,2019-10-24,"Action, Crime, Thriller",2h 25m,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.",8.4,52284,Lokesh Kanagaraj,"Karthi, Narain, Arjun Das",https://www.imdb.com/title/tt9900782/
Soorarai Pottru,2020-11-12,Drama,2h 33m,"A determined villager challenges the aviation industry's elite by pursuing his vision of affordable air travel for all, despite numerous obstacles and setbacks",8.6,132469,Sudha Kongara,"Suriya, Aparna Balamurali, Paresh Rawal",https://www.imdb.com/title/tt10189514/
Sita Ramam,2022-08-05,"Action, Drama, Musical",2h 43m,"A soldier receives a life-changing letter from a woman named Sita, leading to a beautiful romance. Their love story takes an unexpected turn when he returns to his military post in Kashmir and faces imprisonment.",8.5,84918,Hanu Raghavapudi,"Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna",https://www.imdb.com/title/tt20850406/
Anniyan,2005-06-17,"Action, Crime, Drama",3h 1m,"Ramanujam, who suffers from multiple personality disorder, works as a lawyer by day and a vigilante at night, using tips from the 'Garuda Purana' as his tools to punish various antisocial elements.",8.4,26717,Shankar Shanmugham,"Vikram, Sada, Prakash Raj",https://www.imdb.com/title/tt0376127/
Thalapathi,1991-11-25,"Action, Crime, Drama",2h 37m,An orphan named Surya raised in a slum befriends a good crime boss named Devaraj and works for him. Their existence is threatened when a new honest district collector arrives.,8.5,16105,Mani Ratnam,"Rajinikanth, Mammootty, Shobana",https://www.imdb.com/title/tt0101649/
Thevar Magan,1992-10-25,"Action, Drama, Romance",2h 25m,The urbane son of a village chieftain struggles between his personal aspirations and those of his family.,8.7,9048,Bharathan,"Kamal Haasan, Sivaji Ganesan, Nassar",https://www.imdb.com/title/tt0105575/
Drishyam,2013-12-19,"Crime, Drama, Mystery",2h 40m,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,8.4,49415,Jeethu Joseph,"Mohanlal, Meena, Asha Sharath",https://www.imdb.com/title/tt3417422/
Nuvvu Naaku Nachchav,2001-09-06,"Comedy, Romance",3h 4m,"Venky and Nandini's relationship changes from mere friendship to something that is more romantic. However, love only blossoms between the two after Nandini's marriage is fixed elsewhere.",8.8,6693,Vijay K. Bhaskar,"Venkatesh Daggubati, Aarthi Agarwal, Suhasini",https://www.imdb.com/title/tt0311594/
Asuran,2019-10-03,"Action, Drama",2h 21m,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. How the pacifist farmer saves his hot-blooded son is the rest of the story.",8.4,37570,Vetrimaaran,"Dhanush, Manju Warrier, Prakash Raj",https://www.imdb.com/title/tt9477520/
Kadaisi Vivasayi,2022-02-11,Drama,2h 2m,The last active farmer in a remote village tries to hold out against a property developer.,8.7,11039,M. Manikandan,"Nallandi, Vijay Sethupathi, Yogi Babu",https://www.imdb.com/title/tt10300570/
